Manufacturer	Model	Type	Status	Size [in]	Re [ohm]	fs [Hz]	Qms	Qes	Qts	Rms [Ns/m]	Mms [g]	Cms [mm/N]	Vas [l]	Sd [cm2]	BL [Tm]	Pmax [W]	Xmax [mm]	Beta	Z1k [ohm]	Z10k [ohm]	Le [mH]	Leb [mH]	Ke [sH]	Rss [ohm]	USPL [dB]	BL²/Re	Revision	Updated
Scan-Speak	25W-8565-01	W	Vintage	10	5.5	19	5.6	0.35	0.33	1	46.71	1.5	229	330	9.3	100	6.5				0.4				90.1	15.73		
Scan-Speak	26W/4534G00	W	Active	10	3.8	23	9.57	0.37	0.36	0.8	52	0.92	156	350	8.8	90	6	0			0.99	0.107	0.109	265	92.3	20.38	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	26W/4558T00	S	Active	10	2.6	21	5.56	0.33	0.31	2.49	105	0.55	94.9	352	10.5	80	12.5	0			1.75	0.241	0.063	252	91.1	42.4	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	26W/4867T00	W	Active	10	3.7	18	5.8	0.31	0.29	0.99	51	1.53	220	320	8.3	80	9	0			9	0.13	0.0191	19.5	91.5	18.62	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	26W/8534G00	W	Active	10	5.7	23	9.12	0.42	0.4	0.8	50.5	0.95	150	350	10.1	80	6	0			1.38	0.135	0.141	500	89.9	17.9	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	26W/8861T00	W	Active	10	6.2	19	5.2	0.33	0.31	1	43.5	1.61	231	320	9.9	80	9	0			11.1	0.165	0.028	203	89.9	15.81	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	26W/8867T00	W	Active	10	5.8	19	4.5	0.31	0.29	1.51	57	1.23	176	320	11.2	80	9	0			0.823	0.17	0.0379	2309	89.3	21.63	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	28W/4878T00	S	Active	10	3.1	18	5.6	0.32	0.3	2.3	114.5	0.68	127	363	11.2	200	14	0			0.5				89.8	40.46	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	28W/4878T01	W	Active	10	3.1	23	6.21	0.27	0.26	2	86	0.56	104	363	12	200	7	0			0.5				92.8	46.45	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	28W/8878T01	W	Active	10	6.3	22	5.81	0.33	0.31	2	84	0.62	116	363	14.9	200	7.5	0			0.55				88.8	35.24	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	30W/4558T00	S	Active	12	2.6	17	5.01	0.34	0.32	2.88	135	0.65	197	466	10.5	150	12.5	0			1.96	0.28	0.054	260	91.4	42.4	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	32W/4878T00	S	Active	12	3.1	18	7	0.33	0.32	2.42	150	0.52	203.9	526	12.5	200	14	0			12.1	0.249	0.038	8	91.7	50.4	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	32W/4878T01	W	Active	12	3.1	23	6	0.3	0.28	2.7	112	0.43	170	526	13	150	7	0			0.3				94.5	54.52	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	32W/8878T01	W	Active	12	6.1	19	5.69	0.35	0.33	2.4	114.8	0.6	234	526	15.6	150	7.5	0			0.68				89.8	39.9	May 18, 2020	2020-11-09/Kimmo Saunisto
Scan-Speak	5F/8422T01	F	Active	2.5	6	93	5.17	0.69	0.61	0.21	1.86	1.58	0.5	15.2	3.07	10	2	0			0.07				80.9	1.57	May 18, 2020	2020-11-09/Kimmo Saunisto
Seas	21F-WB	W	Vintage	8	6.1	35	2.2	0.47	0.38	1.7	15	1.214	90	230	7	60	3		7.7	22					92.3	8.03		2017-08-31/Kimmo Saunisto
Seas	A26RE4	W	Active	8	6.3	25	3.84	0.43	0.39	1.69	37.4	1.1	169	350	9.7	80	4		17.4	79	3.8				90.9	14.93	Jul 2012	2016-02-27/Datasheet Import
Seas	C16N001/F	C	Active	5.5	3.2	37	3.24	0.58	0.49	1.09	14.6	1.3	15	94	4.4	80	7		4.4	11.1	0.27				87.2	6.05	Aut 2008-1	2016-02-27/Datasheet Import
Seas	CA11RCY	W	Vintage	4.5	6.4	57.9	1.54	0.28	0.24	1.4	5.93	1.3	5.4	55	7	60	3				0.55				88.7	7.66		
Seas	CA12RCY	W	Active	4.5	6.4	57	2.17	0.36	0.31	1.04	6.1	1.3	5	55	6.35	60	3		9.1	24.4	1.05				87.1	6.3	Jul 2007-1	2016-02-27/Datasheet Import
Seas	CA15RLY	W	Active	5.25	5.6	44	1.88	0.42	0.34	1.19	7.7	1.7	14	80	5.5	60	5		7.6	21	0.82				88.1	5.4	Dec 2011	2016-02-27/Datasheet Import
Seas	CA18RLY	W	Active	6.5	5.8	42	2.92	0.56	0.47	1.04	10.6	1.4	32	136	5.6	80	5		8.6	22.9	1.05				89.7	5.41	Jul 2007-1	2016-02-27/Datasheet Import
Seas	CA18RNX	W	Active	6.5	5.8	35	1.9	0.37	0.31	1.72	14	1.4	33	136	7.2	80	6		8.7	26.4	1.2				89.2	8.94	Jul 2007-1	2016-02-27/Datasheet Import
Seas	CA21FEY	W	Vintage	8	6.1	31	2.16	0.22	0.2	1.8	19.97	1.3	97.6	230	10.3	80	3				0.6				94.4	17.39		
Seas	CA21RE4X/DC	W	Vintage	8	5.6	29	3.3	0.62	0.52	1.6	28.97	1	76.9	230	6.9	90	3				1				88.4	8.5		
Seas	CA21REX	W	Vintage	8	6.1	31	2.6	0.39	0.34	1.8	23.97	1.1	81.3	230	8.5	80	3				0.6				91.1	11.84		
Seas	CA22RNX	W	Active	8	6.1	29	2.04	0.52	0.41	2.05	20.9	1.4	97	230	7	80	6		8.8	26.4	1				89.8	8.03	Jul 2007-1	2016-02-27/Datasheet Import
Seas	CA22RNY	W	Active	8	6.2	34	1.69	0.36	0.3	2.51	19.8	1.1	82	230	8.5	90	6		9.2	27.5	1.55				92.6	11.65	Jul 2007-1	2016-02-27/Datasheet Import
Seas	CA25FEY	W	Vintage	10	6	31.2	1.83	0.33	0.28	3.18	29.7	0.88	150.7	350	10.3	80	4				0.8				94.7	17.68		
Seas	CA25RE4X/DC	W	Vintage	10	5.8	25.1	1.82	0.69	0.5	3.18	36.7	1.1	187.9	350	7	90	4				1.2				89.7	8.45		
Seas	CA26RE4X	W	Active	10	6.1	25	3.99	0.3	0.28	1.66	38.5	1.1	164	350	11.6	80	4		16.2	70.6	3.08				92.5	22.06	Jul 2007-1	2016-02-27/Datasheet Import
Seas	CA26RFX	W	Active	10	6.3	29	2.14	0.4	0.34	3.4	36.1	0.8	129	350	10.7	100	7		11.4	36.2	1.95				92	18.17	Jul 2007-1	2016-02-27/Datasheet Import
Seas	CB17RCY	W	Vintage	6.5	5.7	37.3	0.89	0.35	0.25	2.99	11.34	1.6	38	130	6.6	60	3				0.65				91	7.64		
Seas	CB17RCYP	W	Vintage	6.5	5.7	38	1.31	0.34	0.27	2	10	1.8	34.9	125	6.6	75	3				0.65				91	7.64		
Seas	CD22RN4X	W	Active	8	6.1	20	3.28	0.26	0.24	1.67	41.6	1.5	108	230	11.4	100	7		18.7	93	3.47				88.4	21.3	Jul 2007-1	2016-02-27/Datasheet Import
Seas	ER15RLY	W	Active	5.25	5.6	44	1.55	0.41	0.32	1.43	7.6	1.7	15	80	5.5	60	5		7.7	20.4	0.73				88.5	5.4	Jul 2007-1	2016-02-27/Datasheet Import
Seas	ER18RNX	W	Active	6.5	5.9	37	1.58	0.39	0.32	2.2	14	1.3	32	136	7.2	80	6		7.9	20.6	0.67				89.5	8.79	Jul 2007-1	2016-02-27/Datasheet Import
Seas	Exotic F8, 4 ohm	F	Active	8	3	31	4.24	0.43	0.39	0.57	10.5	2.08	146	222	4.2	35	2.1		5.4	6.7	0.05				96.3	5.88	Nov 2007-1	2016-02-27/Datasheet Import
Seas	Exotic F8, 8 ohm	F	Active	8	5.7	32	4.2	0.5	0.44	0.57	10	2.5	143	222	5.25	35	2.1		8.9	10.8	0.07				93.2	4.84	Dec 2007-1	2016-02-27/Datasheet Import
Seas	Exotic W8	W	Active	8	6	36	5.1	0.25	0.24	0.7	13.9	1.2	78	212	9.2	100	3		8.8	21.1	0.43				94.9	14.11	Dec 2008-1	2016-02-27/Datasheet Import
Seas	FA22RCZ	F	Active	8	5.7	30	4.36	0.38	0.35	0.63	12.6	2.2	134	222	6.4	40	3		8.9	11.5	0.09				93.3	7.19	Oct 2010-1	2016-02-27/Datasheet Import
Seas	FU10RB, 4 ohm	F	Active	4	3.3	102	3.15	1.28	0.91	0.85	4.5	0.5	1	38.5	2.72	40	2		4.3	6	0.29				85	2.24	Jun 2011-1	2016-02-27/Datasheet Import
Seas	FU10RB, 8 ohm	F	Active	4	6.42	102	3.25	1.36	0.96	0.83	4.05	0.6	1	38.5	3.56	40	2		7.8	10.3	0.16				81.9	1.97	Aug 2011-1	2016-02-27/Datasheet Import
Seas	G17RE/P	W	Vintage	6.5	6.1	33.3	1.76	0.44	0.35	1.99	16.74	1.4	27.5	120	7	100	3				0.6				86.8	8.03		
Seas	G17REX/P	W	Vintage	6.5	6.1	33.3	1.76	0.3	0.25	1.99	16.74	1.4	27.5	120	8.5	100	3				0.6				88.5	11.84		
Seas	H489	W	Vintage	6.5	6.1	36.2	1.7	0.29	0.25	1.94	14.5	1.3	26.9	120	8.33	90	3				0.6				89.6	11.38		
Seas	L12RCY/P	W	Active	4.5	5.5	50	2.34	0.33	0.29	0.94	6.8	1.5	5	50	6.1	70	3		7.5	22.8	0.76				86.4	6.77	Jul 2007-1	2016-02-27/Datasheet Import
Seas	L12RE/XFC	C	Active	4.5	3.1	55	2.99	0.33	0.3	1.08	9.2	0.9	3	47	5.5	80	3		5	16.1	0.48				87.9	9.76	Feb 2011-1	2016-02-27/Datasheet Import
Seas	L15RLY/P	W	Active	5.25	5.5	44	2.1	0.43	0.35	1.12	8.1	1.6	12	75	5.7	80	5		8.1	22.1	0.84				87.4	5.91	Jul 2007-1	2016-02-27/Datasheet Import
Seas	L16RN-SL	W	Active	5.5	6	37	2.48	0.55	0.45	1.38	14.7	1.3	19	104	6.1	80	6		7.7	20.9	0.64				85.7	6.2	Nov 2011	2016-02-27/Datasheet Import
Seas	L16RNX4	W	Active	5.5	3.1	37	2.31	0.38	0.33	1.54	14.7	1.3	18	104	5.4	80	6		4.3	12.9	0.32				89.9	9.41	Dec 2007-1	2016-02-27/Datasheet Import
Seas	L16RNX8	W	Active	5.5	5.8	39	2.08	0.44	0.36	1.88	15.3	1.1	16	104	7.2	80	6	0	7.7	20.2					86.7	8.94	Dec 2007-1	2016-02-27/Datasheet Import
Seas	L17RCY/P	W	Vintage	6.5	5.5	31	1.21	0.31	0.25	2.58	16	1.6	36	125	7.44	80	3								89	10.06		
Seas	L17REX/P	W	Vintage	6.5	6.1	39	1.7	0.29	0.25	2	14.5	1.4	20.8	120	9.2	100	2				0.65				89.5	13.88		
Seas	L18RCY/P	W	Active	6.5	5.6	33	2.01	0.37	0.31	1.39	12.7	1.8	38	125	6.5	80	4		8	24.4	0.92				89.2	7.54	Jul 2007-1	2016-02-27/Datasheet Import
Seas	L18RNX/P	W	Active	6.5	5.8	36	2.09	0.36	0.31	1.56	13.6	1.4	30	126	7.2	100	6		8.7	26.5	1.06				89.3	8.94	Sept 2007-1	2016-02-27/Datasheet Import
Seas	L22RN4X/P	W	Active	8	6.1	21	3.13	0.29	0.27	1.76	40	1.4	93	220	10.7	125	7		20.1	98	3.76				87.9	18.77	Jul 2007-1	2016-02-27/Datasheet Import
Seas	L22RNX/P	W	Active	8	6	23	2.07	0.38	0.32	2.01	27	1.8	112	220	8.15	110	6		10.2	34	1.43				88.8	11.07	Jul 2007-1	2016-02-27/Datasheet Import
Seas	L26RFX/P	W	Active	10	6.3	20	2.15	0.39	0.33	3.3	53	1.2	171	330	10.7	125	7		11.3	35.9	1.83				88.5	18.17	Jul 2007-1	2016-02-27/Datasheet Import
Seas	L26RO4Y	S	Active	10	3.3	24	4.9	0.28	0.27	5.4	173	0.26	46	363	18	250	14		12.4	39.1	3.85				89.4	98.18	Jun 2011-1	2016-02-27/Datasheet Import
Seas	L26ROY	S	Active	10	3.1	22	4.14	0.33	0.31	3.7	107	0.5	87	363	12	250	14		5.8	12.3	0.53				90.6	46.45	Sept 2008-1	2016-02-27/Datasheet Import
Seas	M11(H143)				6.5	140	2.17	1.09	0.73	2.092	5.2	0.25	1.1	56	5.2	100	0.9		8	15					87.3	4.16		2017-07-01/Data import
Seas	M14NP(H452)				6.5	55	1.16	0.45	0.32	2.125	7.1	1.174	10	78	5.97	140	3		9.5	20					88.6	5.48		2017-07-01/Data import
Seas	M15CH001				5.7	54	1.1	0.41	0.3	1.936	6.3	1.384	10.9	75	5.44	100	1		6.5	15					89.7	5.19		2017-07-01/Data import
Seas	M15CH002	M	Active	5.25	4.9	67	1.7	0.52	0.4	1.77	6.75	0.8	6	75	5.3	70	3		6.5	15.9	0.43				89.5	5.73	Jul 2007-1	2016-02-27/Datasheet Import
Seas	MCA12RC	M	Active	4.5	6.3	68	2.42	0.74	0.56	0.85	4.58	1.2	5	55	4.2	110	0.9		7.4	14.5	0.31				86.3	2.8	Jul 2007-1	2016-02-27/Datasheet Import
Seas	MCA15RCY	M	Active	5.25	5.8	51	1.57	0.3	0.25	1.53	7.1	1.4	12	80	6.8	100	1.7		7.7	20.7	0.73				90.6	7.97	Jul 2007-1	2016-02-27/Datasheet Import
Seas	MP12VC 8ohm	M	Vintage	4.5	6.1	90	1.34	0.65	0.44	2.4	5.8	0.54	2.9	62	5.5	90	0.9				0.5				88.3	4.96		
Seas	MP14RCY	M	Vintage	5.25	5.7	42.2	0.79	0.26	0.19	2.49	7.4	1.9	17.2	80	6.6	110	3		7.4	23.7	0.65				90.4	7.64		
Seas	MR18REX/XF	C	Active	6.5	6.2	126	2.49	0.96	0.69	4.26	11.8	0.1	3	126	8.3	80	3		7.5	18.3	0.43				91.1	11.11	Feb 2014	2016-02-27/Datasheet Import
Seas	MT14(H696)				5.7	50	1.11	0.35	0.27	1.879	6.6	1.526	13	78	5.83	120	3		9.5	20					90.1	5.96		2017-07-01/Data import
Seas	MU10RB-SL	M	Active	4	3.3	100	1.63	1.15	0.67	1.8	4.51	0.6	1.1	38.5	2.9	40	2		4.3	6	0.14				85.7	2.55	Oct 2012	2016-02-27/Datasheet Import
Seas	P11RCY	W	Vintage	4.5	5.7	54.8	1.54	0.27	0.23	1.51	6.73	1.3	5.3	55	7	60	3				0.65				88.6	8.6		
Seas	P14RC/TV	W	Vintage	5.25	5.7	40	1.35	0.25	0.21	1.4	7.51	2.1	18.9	80	6.5	60	3		7.3	22.2	0.6				90.3	7.41		
Seas	P14RCY	W	Vintage	5.25	5.7	40.3	1.35	0.22	0.19	1.39	7.4	2.1	18.9	80	7	60	3		7.3	20.2	0.65				91	8.6		
Seas	P17RCY	W	Vintage	6.5	5.7	35.2	0.88	0.3	0.23	2.98	11.84	1.7	40.8	130	7	60	3				0.65				91.2	8.6		
Seas	P17RE COAX/TVF	W	Vintage	6.5	6.1	35.3	1.7	0.38	0.31	1.99	15.24	1.3	26.9	120	7.4	100	3				0.6				88.1	8.98		
Seas	P17RE/TV	W	Vintage	6.5	6.1	34	1.21	0.35	0.27	3	17	1.3	30.5	130	7.9	80	3				0.6				88.5	10.23		
Seas	P17REX	W	Vintage	6.5	6.1	34.2	1.21	0.31	0.24	2.98	16.84	1.3	30.5	130	8.5	80	3				0.6				89.1	11.84		
Seas	P18RNX/P	W	Active	6.5	6.1	44	1.52	0.41	0.32	2.53	13.1	1	21	126	7.6	80	6		8.9	26.8	1.18				89.6	9.47	Feb 2007-1	2016-02-27/Datasheet Import
Seas	P21REX	W	Vintage	8	6.1	33	2.36	0.44	0.37	2.2	24.97	0.93	68.9	230	8.5	80	3				0.6				90.7	11.84		
Seas	P21REY	W	Vintage	8	6.1	33	2.36	0.34	0.29	2.2	24.97	0.93	68.9	230	9.7	80	3				0.6				91.8	15.42		
Seas	P21RFX/P	W	Vintage	8	6.4	34.3	1.7	0.27	0.23	2.98	23.53	0.92	48.3	194	11	125	4				0.8				91.6	18.91		
Seas	P25REX	W	Vintage	10	6.1	27.1	2.3	0.54	0.44	2.79	37.7	0.91	156.8	350	8.5	80	3				0.6				90.8	11.84		
Seas	SL26R	PR	Active	10		16	15			1.33	260	0.5	70.6	363			28										Apr 2010-1	2016-02-27/Datasheet Import
Seas	SP18R	PR	Active	6.5		26	15			0.235	21.5	1.74	41.5	130			9.5										Jul 2007-1	2016-02-27/Datasheet Import
Seas	SP22R	PR	Active	8		22	15			0.258	28	1.87	139	230			10										Jul 2007-1	2016-02-27/Datasheet Import
Seas	SP26R	PR	Active	10		22	15			0.386	42	1.25	215	350			12.5										Jul 2007-1	2016-02-27/Datasheet Import
Seas	T17RE	W	Vintage	6.5	6.1	34	1.32	0.43	0.32	3	18.52	1.2	28	130	7.5	80	2.5				0.6				87.3	9.22		
Seas	T18RE/XFCTV2	C	Active	6.5	6.1	26	1.63	0.31	0.26	1.45	13.7	2.7	52	120	6.8	80	3		8.1	24.6	0.79				87.9	7.58	Jul 2007-1	2016-02-27/Datasheet Import
Seas	U16RCY/P	W	Active	5.5	6.2	36	2.19	0.38	0.32	1.11	10.26	1.9	25	99	6.3	60	4		8.8	26.1	0.81				88	6.4	Apr 2008-1	2016-02-27/Datasheet Import
Seas	U18RNX/P	W	Active	6.5	5.9	43	2.05	0.45	0.37	1.78	13.4	1.1	22	126	6.9	80	6		7.6	19.8	0.25				89.2	8.07	Sept 2009-1	2016-02-27/Datasheet Import
Seas	U22REX/P-SL	W	Active	8	6	29	1.77	0.34	0.29	2.1	19.8	1.7	103	220	8	100	4		8.2	24.6	0.7				91.9	10.67	Oct 2012	2016-02-27/Datasheet Import
Seas	W111(H149)				6.4	58	1.54	0.28	0.24	1.501	6.3	1.187	5.4	57	7.27	60	3		9.5	20					88.7	8.26		2017-07-01/Data import
Seas	W11AL(H759)				5.5	53	2.1	0.35	0.3	1.088	6.9	1.314	4.6	50	5.99	70	3		9	15					86.5	6.52		2017-07-01/Data import
Seas	W11CY-001	W	Vintage	4.5	5.7	65	1.66	0.31	0.26	1.4	5.67	1.1	3.7	50	6.5	75	3				0.32				88.6	7.41		
Seas	W11CY-002	W	Vintage	4.5	5.6	46	1.9	0.37	0.31	1.1	7.22	1.7	5.8	50	5.6	70	3				0.32				85.4	5.6		
Seas	W12CY001	W	Active	4.5	5.6	45	2.5	0.42	0.36	0.87	7.5	1.7	6	50	5.4	70	3		6.6	16	0.43				84.7	5.21	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W12CY003	W	Active	4.5	5.5	60	2.3	0.44	0.36	1.03	6.1	1.2	4	50	5.5	70	3		7	16.7	0.41				86.6	5.5	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W14CY-001	W	Vintage	5.25	5.4	43	1.8	0.44	0.35	1.53	10.18	1.3	10.6	75	5.8	70	4				0.37				86.5	6.23		
Seas	W15CH001	W	Active	5.25	5.5	38	2.58	0.5	0.42	0.91	9.5	1.8	14	75	5.1	70	4		6.9	16.3	0.49				85.5	4.73	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W15CY001	W	Active	5.25	5.5	38	2.22	0.43	0.36	1.06	9.5	1.8	14	75	5.5	70	4		6.8	16	0.49				86.1	5.5	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W15LY001	W	Active	5.25	5.7	49	2.21	0.56	0.45	0.93	6.28	1.7	12	75	4.6	60	5		6.9	13.9	0.3				87.5	3.71	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W16NX001	W	Active	5.5	6.2	39	2.16	0.41	0.35	1.64	13.9	1.2	14	94	7.3	80	7		7.4	15.2	0.41				86.2	8.6	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W17CY-001	W	Vintage	6.5	5.7	37	2.75	0.41	0.36	1.1	13.01	1.4	36.3	135	6.5	80	3				0.32				90	7.41		
Seas	W17E-001	W	Vintage	6.5	6.9	35	2.5	0.38	0.33	1.27	14.45	1.4	31.8	126	7.6	100	4				0.32				88.2	8.37		
Seas	W17E-002	W	Vintage	6.5	6.4	34	2.4	0.37	0.32	1.47	16.51	1.3	29.5	126	7.8	100	4				0.4				87.9	9.51		
Seas	W17EX-001	W	Vintage	6.5	6.1	37	3.38	0.31	0.29	1.1	15.98	1.2	27.4	130	8.5	100	3				0.32				89.7	11.84		
Seas	W17EX-002	W	Vintage	6.5	6.4	34	1.77	0.31	0.26	2	16.51	1.3	29.5	126	8.6	100	4				0.4				88.7	11.56		
Seas	W17PPI				5.7	38	1.31	0.34	0.27	2.005	11	1.595	34.9	125	6.64	75	3		9	20					91	7.74		2017-07-01/Data import
Seas	W18E001	W	Active	6.5	6.1	34	2.91	0.49	0.42	1.2	15.5	1.4	30	126	6.6	100	5		8	18.9	0.65				87	7.14	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W18EX001	W	Active	6.5	6.1	34	1.8	0.3	0.26	1.94	15.5	1.4	30	126	8.4	100	5		7.8	18.3	0.65				89.1	11.57	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W18NX001	W	Active	6.5	6.3	40	2.08	0.41	0.34	1.77	13.7	1.2	24	126	7	80	7		8.1	16.8	0.43				88.8	7.78	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W21EX-001	W	Vintage	8	6.5	31	2.73	0.49	0.42	2	27.99	0.94	63.8	220	8.5	120	6				0.32				88.8	11.12		
Seas	W21EX-002	W	Vintage	8	6.4	28	2.7	0.41	0.36	2	31.73	1	69	220	9.2	120	5				0.5				88.6	13.22		
Seas	W22EX001	W	Active	8	6.1	25	2.14	0.41	0.34	2.06	26.2	1.5	98	220	8.1	120	5		7.8	18.2	0.61				88.9	10.76	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W22NY001	W	Active	8	6.1	33	1.73	0.36	0.3	2.6	20	1.2	72	220	8.8	90	7		8	15.7	0.61				91.7	12.7	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W26FX001	W	Active	10	6.3	20	2.34	0.41	0.35	3.21	56.3	1.1	162	330	10.7	150	7		8.2	19.6	1.43				88	18.17	Jul 2007-1	2016-02-27/Datasheet Import
Seas	W26FX002	W	Active	10	6.2	31	2.55	0.47	0.39	3.52	42.4	0.6	87	330	10.9	100	7		8.4	18.6	0.81				90.5	19.16	Jul 2005-1	2016-02-27/Datasheet Import
Seas	WA211D				6.1	29	1.8	0.4	0.33	2.418	23.9	1.261	91	227	8.15	120	3		9.5	20					90.6	10.89		2017-07-01/Data import
Seas	WP171				5.7	40	1	0.36	0.26	2.242	8.9	1.775	42	130	5.96	90	3		9	20					92.2	6.23		2017-07-01/Data import
Seas	WT171				5.7	42	1.3	0.38	0.29	1.916	9.4	1.521	36	130	6.11	90	3		9	20					91.9	6.55		2017-07-01/Data import
SEAS	L19RNX1	W		6.4	6.41122	38.9412	9.1624	0.515017	0.487608	0.321354	25.8994	0.618481	19.4466	146	8.8881	100	7	0.0616			2.08659	0.298592	0.0350055	1329.4	86.4	12.32		2020-20-10/Jeff Candy
Sica	12E2,5S				6	50	14	0.3	0.29	0.84	37.4	0.271	91	490	15.34	250	2		12	40					99	39.22		2017-07-01/Data import
Sica	12F3CPAluFerrit				5.1	55	9.1	0.25	0.24	2.026	53.3	0.157	53	491	19.39	350	2.5		12	40					99.4	73.72		2017-07-01/Data import
Sica	12L2,5SL				6	55	2.2	0.47	0.39	6.804	43.3	0.193	65	490	13.82	250	4		12	35					96.9	31.83		2017-07-01/Data import
Sica	12S2,5CS				6	33	14	0.27	0.26	1.232	83.2	0.28	94	490	19.58	250	7		30	150					94.2	63.9		2017-07-01/Data import
Sica	6.5 C 1.5 CP	C	Active	6.5	5.1	56.8	4.05	0.43	0.39	1.155	13.1	0.599	12.8	122.7	7.43	120	4.5	0			0.44				91.3	10.82		2022-11-08/Janne Panu
Sinus	10WS 7.3 BP-8	M		4	6.3	70	2.5	0.79	0.6	1.06	6.03	0.86	3	50	4.6	40	2.5								84.2	3.36		
Sinus	13MS 10.3 BP-8			5	5.6	80	2	0.33	0.29	1	3.99	0.99	7.2	72	5.8	70	1.5								94	6.01		
Sinus	13WS 7.3 BP-8			5	6.4	55	3.2	0.58	0.49	0.77	7.13	1.2	10	78	5.2	40	2.5								87.5	4.23		
Sinus	16WS 10.3 BP-8	W		6.5	6	48.9	1.05	0.46	0.32	3.78	12.9	0.82	20	132	7.2	60	3.5								90.3	8.64		
Sinus	16WS 7.34 BP-8	W		6.5	5.6	46	2.9	0.6	0.49	1.46	14.6	0.82	20	132	6.3	50	2.5								88.7	7.09		
Sinus	20WBA 10.3 BP-8	W		8	5.6	33.4	2.4	0.4	0.34	1.57	18	1.3	75	206	7.3	50	3.5								92	9.52		
Sinus	22WS 7.34 BP-8	W		8	5.6	34.8	4.2	0.59	0.52	0.99	19.1	1.1	62	201	6.3	50	3.5								90	7.09		
Sinus	25WBA 12.4 BP-8			10	5.6	33	2.7	0.53	0.44	2.23	29	0.8	115	320	8	100	6								92.5	11.43		
Sinus	30WBA 12.5 BP-8			12	5.6	32.2	6.3	0.81	0.72	1.12	35	0.7	254	510	7	150	5								93.7	8.75		
Sinus	30WBA 15.6 BP-8			12	5.6	25.1	9.52	0.6	0.56	1.12	68	0.59	216	510	10	200	8								91.1	17.86		
Sinus	FQ 5294 FX			5	5.5	69.8	1.5	0.23	0.2	1.17	4	1.3	9.43	72	6.5	75									95.1	7.68		
Sinuslive	SW250D_Reihe				7	22	5.2	0.29	0.27	1.302	49	1.068	159	326	12.78	100	4		10	30					90.2	23.33		2017-07-01/Data import
Skaaning	SK170-308	W		7.5	5.49	36.7	1.7	0.36	0.3	2.16	15.98	1.2	47.66	170	7.44	200	2.5				0.24				91.8	10.08		
Skaaning	SK300-304			12	3.4	18.2	1.72	0.31	0.26	4.74	71.24	1.1	396.48	515	9.5	350	5				0.56				94.6	26.54		
Sledghammer	1252DVC			12	5.6	15	4.1	0.39	0.36	1.94	84.58	1.3	533	535	10.7		3				0.15				90.2	20.44		
Sledghammer	15258DVC			15	6.1	22.7	5.82	0.57	0.52	3.28	133.75	0.37	310.87	777	14.34	100	2.75				0.36				91.2	33.71		
Sledghammer	6102	W		6.5	6.6	29.9	7.44	0.45	0.42	0.3	11.97	2.4	49.7	122.6	5.77	50	1.75				0.18				87.5	5.04		
Sledghammer	8252R	W		8	8.88	28.5	2.06	0.45	0.37	2.19	25.17	1.2	68	197.9	9.43	75	2.25								87	10.01		
SoundLevel	QS-216 by REW	W	Active	6.5	3.876	60.5	23.412	0.708	0.688	0.239	14.74	0.47	9.91	122	5.537		5	0			0.824		0.0761	166	90.1	7.91		
SoundLevel	QS-216 by speakerbench.com	W	Active	5.9	3.875	60.51	12.366	0.706	0.668	0.27	14.77	0.459	9.89	122	5.55		5	0.034			0.92	0.031	0.059	411	90.1	7.95		
SoundLevel	QS-216 by VCAD	W	Active	6.5	3.929	60.8	12.226	0.719	0.679	0.275	14.72	0.461	9.88	122	5.542		5	0.033			0.777	0.0211	0.0738	92.1	90	7.82		
Sphynx	boompower300				3.2	34	4.2	0.61	0.53	5.099	100.2	0.219	54	420	10.6	200	5		6	20					91.4	35.11		2017-07-01/Data import
Sphynx	ramses300				3	35	3	0.45	0.39	7.359	100.4	0.206	78	520	12.13	300	3		6	25					95	49.05		2017-07-01/Data import
SPL Dynamics	SPL-460D1A	S	Active	18	1.5	29.14	4.809	0.42	0.386	23.612	437	0.0481	145.6	1464	16.92	1500	11.5	0							98.6	190.86		2022-11-08/Janne Panu
